formatted_address,primary_address,other_address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
1023 Hyde Park Ave  Hyde Park  MA  02136,y,,90,Westminster House,,,,,,Leased Housing - Mod Rehab Eld/Dis
260 Ruggles St  Roxbury  MA  02120,y,,91,Alice Taylor,,,,,,Public Housing - Federal Family
125 Amory St  Jamaica Plain  MA  02130,y,,92,Amory Street,,,,,,Public Housing - Federal Eld/Dis
52 Summer St  Dorchester  MA  02122,y,,93,Annapolis,,,,,,Public Housing - Federal Eld/Dis
120 Brookway Rd  Roslindale  MA  02131,y,,94,Archdale,,,,,,Public Housing - State Family
374 Ashmont St  Dorchester  MA  02124,y,,95,Ashmont,,,,,,Public Housing - Federal Eld/Dis
185 Fulton St  Boston  MA  02109,y,,96,Ausonia,,,,,,Public Housing - Federal Eld/Dis
160 Thirteenth St  Charlestown  MA  02129,y,,97,"Basilica, Condos",,,,,,Public Housing - State Eld/Dis
24 Bellflower St  Dorchester  MA  02125,y,,98,Bellflower,,,,,,Public Housing - Federal Eld/Dis
30 Bickford St  Jamaica Plain  MA  02130,y,,99,Bromley Park,,,,,,Public Housing - Federal Family
30 Bickford St  Jamaica Plain  MA  02130,y,,100,Bromley Park  - Elderly,,,,,,Public Housing - Federal Eld/Dis
136 Lenox St  Boston  MA  02118,y,,101,Camden,,,,,,Public Housing - State Family
1472 Washington St  Boston  MA  02118,y,,102,Cathedral,,,,,,Public Housing - Federal Family
55 Bunker Hill St  Charlestown  MA  02129,y,,103,Charlestown,,,,,,Public Housing - Federal Family
784 Washington St  Dorchester  MA  02124,y,,104,Codman,,,,,,Public Housing - Federal Eld/Dis
35 Fidelis Way  Brighton  MA  02135,y,,105,Commonwealth,,,,,,Public Housing - Federal Family
35 Fidelis Way  Brighton  MA  02135,y,,106,Commonwealth Elderly,,,,,,Public Housing - Federal Eld/Dis
101 Davison St  Hyde Park  MA  02136,y,,107,Davison,,,,,,Public Housing - Federal Eld/Dis
199 H St South  Boston  MA  02127,y,,111,Foley,,,,,,Public Housing - Federal Eld/Dis
91 Ames St  Dorchester  MA  02124,y,,112,Franklin Field Family,,,,,,Public Housing - Federal Family
91 Ames St  Dorchester  MA  02124,y,,113,Franklin Field Elderly,,,,,,Public Housing - State Eld/Dis
91 Ames St  Dorchester  MA  02124,y,,114,Franklin Field Family - State,,,,,,Public Housing - State Family
755 Tremont St  Roxbury  MA  02118,y,,115,Frederick Douglass,,,,,,Public Housing - Federal Eld/Dis
115 Standard St  Mattapan  MA  02126,y,,116,Gallivan Boulevard,,,,,,Public Housing - State Family
114 Rutherford Ave  Charlestown  MA  02129,y,,117,General Warren,,,,,,Public Housing - Federal Eld/Dis
15 Mary Moore Beatty Cir  Mattapan  MA  02126,y,,118,Groveland,,,,,,Public Housing - Federal Eld/Dis
155 Hampton House  Roxbury  MA  02118,y,,119,Hampton House,,,,,,Public Housing - Federal Eld/Dis
705 River St  Mattapan  MA  02126,y,,120,Hassan,,,,,,Public Housing - Federal Eld/Dis
30 Bickford St  Jamaica Plain  MA  02130,y,,121,Heath Street,,,,,,Public Housing - Federal Family
50-68 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
50 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
52 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
54 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
56 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
58 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
60 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
62 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
64 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
66 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
68 Highland Ave  Roxbury  MA  02119,y,,122,Highland Park,,,,,,Public Housing - Federal Family
129 Elm Hill Ave  Roxbury  MA  02119,y,,123,Holgate,,,,,,Public Housing - Federal Eld/Dis
130 Chestnut Hill Ave  Brighton  MA  02135,y,,124,JJ Carroll,,,,,,Public Housing - Federal Eld/Dis
5 Melville Ave  Dorchester  MA  02124,y,,125,JJ Meade,,,,,,Public Housing - Federal Eld/Dis
